Id,Label,timeset,account,1,2,pr_indegree,pr_indegree_normalized,pr_domain,pr_proximity,pr_rank,pr_rank_min-max-normalized,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,clustering
38,38,"<[8574465.0, 8864142.0]>",0x16e9ce5a1db57b7f85991072d8a7b8f1fa375c81,8574465,8864142,1,0.000113,0.089053,0.019038,8574133,0.002376,1,1,2,1,1,2,7,0.168636,0.169508,11.3875,0.00018,0
39,39,"<[8574737.0, 8864142.0]>",0xaa1b3f8a8335a7e1f0df1664f385e1cd7e9e2303,8574737,8864142,1,0.000113,0.089053,0.019043,8570599,0.002375,1,1,2,1,2,3,7,0.168636,0.169508,784,0.000081,0
40,40,"<[8574769.0, 8864142.0]>",0xaee81a792964910d0d2c6373f4f7c60f1ee53786,8574769,8864142,1,0.000113,0.089053,0.019043,8570599,0.002375,1,2,3,1,2,3,7,0.168669,0.169645,2351,0.000081,0
41,41,"<[8574784.0, 8864142.0]>",0xd094a2f332cd0c81c00111db323616aae7cae44b,8574784,8864142,1,0.000113,0.089053,0.019043,8570599,0.002375,1,1,2,1,1,2,7,0.168636,0.169508,784,0.000081,0
42,42,"<[8575028.0, 8864142.0]>",0xaf9018b0a5a0c9937d96bd0d81a428da007b6c54,8575028,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
43,43,"<[8575028.0, 8864142.0]>",0x7b22c0e59589d0d53d07ebd058d211030d7dd82f,8575028,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
44,44,"<[8575028.0, 8864142.0]>",0xc78f7354d141effc3452880c45f62894eae6c1ec,8575028,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
45,45,"<[8575028.0, 8864142.0]>",0x61c04f78e5103131b53e83dd72c9c842817e28d7,8575028,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
46,46,"<[8575028.0, 8864142.0]>",0xa46bc2e42384cd812f48384ef86ddb7a790305ae,8575028,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
47,47,"<[8575028.0, 8864142.0]>",0x7405537da25f74ab8a914bfb72881b05b23d1396,8575028,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
48,48,"<[8575028.0, 8864142.0]>",0xa8f688065d7bf8785038c64acdfc20d84c447bc9,8575028,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
